-2481399.0159 -3651267.7727 4326160.3733	-190000 0.000000
-2480397.2035 -3651948.4029 4326160.3733	-190000 1.248386
-2479395.2043 -3652628.7582 4326160.3733	-190000 2.496771
-2478393.0185 -3653308.8386 4326160.3733	-190000 3.745157
-2477390.6461 -3653988.6440 4326160.3733	-190000 4.993543
-2476388.0873 -3654668.1744 4326160.3733	-190000 6.241928
-2475385.3421 -3655347.4298 4326160.3733	-190000 7.490314
-2474382.4106 -3656026.4100 4326160.3733	-190000 8.738699
-2473379.2290 -3656705.1582 4326160.3733	-190000 9.987085
-2472375.9251 -3657383.5879 4326160.3733	-190000 11.235471
-2471372.4351 -3658061.7424 4326160.3733	-190000 12.483856
-2470368.7590 -3658739.6216 4326160.3733	-190000 13.732242
-2469364.8970 -3659417.2254 4326160.3733	-190000 14.980628
-2468360.8492 -3660094.5537 4326160.3733	-190000 16.229013
-2467356.6156 -3660771.6066 4326160.3733	-190000 17.477399
-2466352.1963 -3661448.3839 4326160.3733	-190000 18.725784
-2465347.5913 -3662124.8857 4326160.3733	-190000 19.974170
-2464342.8008 -3662801.1118 4326160.3733	-190000 21.222556
-2463337.8248 -3663477.0622 4326160.3733	-190000 22.470941
-2462332.6634 -3664152.7369 4326160.3733	-190000 23.719327
-2461327.3166 -3664828.1358 4326160.3733	-190000 24.967713
-2460321.7846 -3665503.2588 4326160.3733	-190000 26.216098
-2459316.0674 -3666178.1060 4326160.3733	-190000 27.464484
-2458310.1651 -3666852.6772 4326160.3733	-190000 28.712870
-2457304.0138 -3667527.0153 4326160.3733	-190000 29.961255
-2456297.7415 -3668201.0345 4326160.3733	-190000 31.209641
-2455291.2844 -3668874.7775 4326160.3733	-190000 32.458026
-2454284.6424 -3669548.2444 4326160.3733	-190000 33.706412
-2453277.8157 -3670221.4352 4326160.3733	-190000 34.954798
-2452270.8044 -3670894.3496 4326160.3733	-190000 36.203183
-2451263.6084 -3671566.9878 4326160.3733	-190000 37.451569
-2450256.2280 -3672239.3497 4326160.3733	-190000 38.699955
-2449248.6632 -3672911.4351 4326160.3733	-190000 39.948340
-2448240.9140 -3673583.2441 4326160.3733	-190000 41.196726
-2447232.9805 -3674254.7766 4326160.3733	-190000 42.445111
-2446224.8629 -3674926.0325 4326160.3733	-190000 43.693497
-2445216.5611 -3675597.0118 4326160.3733	-190000 44.941883
-2444208.0753 -3676267.7145 4326160.3733	-190000 46.190268
-2443199.4055 -3676938.1405 4326160.3733	-190000 47.438654
-2442190.5518 -3677608.2897 4326160.3733	-190000 48.687040
-2441181.4501 -3678278.2048 4326160.3733	-190000 49.935425
-2440172.2289 -3678947.8003 4326160.3733	-190000 51.183811
-2439162.8240 -3679617.1190 4326160.3733	-190000 52.432197
-2438153.2355 -3680286.1607 4326160.3733	-190000 53.680582
-2437143.4634 -3680954.9254 4326160.3733	-190000 54.928968
-2436133.5080 -3681623.4130 4326160.3733	-190000 56.177353
-2435123.3692 -3682291.6236 4326160.3733	-190000 57.425739
-2434113.0471 -3682959.5570 4326160.3733	-190000 58.674125
-2433102.5418 -3683627.2131 4326160.3733	-190000 59.922510
-2432091.8533 -3684294.5921 4326160.3733	-190000 61.170896
-2431080.9819 -3684961.6937 4326160.3733	-190000 62.419282
-2430069.9274 -3685628.5179 4326160.3733	-190000 63.667667
-2429058.6900 -3686295.0648 4326160.3733	-190000 64.916053
-2428047.2698 -3686961.3342 4326160.3733	-190000 66.164438
-2427035.6668 -3687627.3261 4326160.3733	-190000 67.412824
-2426023.8812 -3688293.0404 4326160.3733	-190000 68.661210
-2425011.8486 -3688958.5195 4326160.3733	-190000 69.909595
-2423999.6978 -3689623.6785 4326160.3733	-190000 71.157981
-2422987.3646 -3690288.5599 4326160.3733	-190000 72.406367
-2421974.8490 -3690953.1635 4326160.3733	-190000 73.654752
-2420962.1512 -3691617.4892 4326160.3733	-190000 74.903138
